phantom,thickness,kvp_pair,noise_level,radius,pair_index,rmse_rel_rho,rmse_rel_z,selected_file,n_materials
Body-Abdomen,1,80-140,0.1,0.5,7,0.09398025406061371,0.20823978300042256,results/Saito/Saito-Body-1/saito_comparison_0.5_2025_08_08-14_55_51.json,9
Body-Abdomen,1,70-100,0.01,0.75,9,0.1447738373221859,0.20823978036720306,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,70-120,0.01,0.75,5,0.05278017150207686,0.2082397812377291,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,70-140,0.01,0.75,9,0.018317233684269966,0.2082397776092926,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,80-120,0.01,0.75,5,0.05033300216970934,0.20823978143510644,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,80-140,0.01,0.75,4,0.022937723943274146,0.20823978169866827,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,70-100,0.05,0.75,1,0.11829440757121325,0.2082397805662974,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,70-120,0.05,0.75,7,0.04994456372484534,0.20823977787622133,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,70-140,0.05,0.75,7,0.031746031270115486,0.20823977823048692,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,80-120,0.05,0.75,7,0.04892805394058566,0.20823977868063137,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
Body-Abdomen,1,80-140,0.05,0.75,3,0.03234777204033484,0.20823977947159325,results/Saito/Saito-Body-1/saito_comparison_0.75_2025_08_08-15_12_34.json,9
